article_name,fincen_id,doc_type,doc_title,doc_date,high_level_summary,primary_fraud_families,secondary_fraud_families,specific_schemes_flat,specific_schemes_json,key_red_flags
FinCEN-Advisory-CMLN-508.pdf,FIN-2025-A003,advisory,FinCEN Advisory FIN-2025-A003,08/28/2025,"FinCEN is issuing an advisory urging financial institutions to be vigilant in identifying and reporting suspicious transactions linked to Chinese money laundering networks (CMLNs). These networks are extensively used by Mexico-based transnational criminal organizations (TCOs), including major cartels, to launder illicit drug proceeds. CMLNs operate as professional money launderers, known for their speed and willingness to assume risks for their clients. Financial institutions are requested to reference this advisory in SAR filings and check specific fields related to informal value transfer systems, unlicensed MSBs, and trade-based money laundering.",money_laundering,trade_based_money_laundering,money_laundering: Use of CMLNs by TCOs | money_laundering: Informal Value Transfer Systems | money_laundering: Unlicensed MSB engagement | trade_based_money_laundering: Black Market Peso Exchange,"[{""family"": ""money_laundering"", ""label"": ""Use of CMLNs by TCOs"", ""notes"": ""Chinese Money Laundering Networks (CMLNs) act as professional money launderers for Mexico-based TCOs, including cartels, to launder drug proceeds.""}, {""family"": ""money_laundering"", ""label"": ""Informal Value Transfer Systems"", ""notes"": ""Suspicious use of informal value transfer systems (IVTS) as a method for illicit fund transfers.""}, {""family"": ""money_laundering"", ""label"": ""Unlicensed MSB engagement"", ""notes"": ""Transactions involving unlicensed or unregistered Money Service Businesses (MSBs).""}, {""family"": ""trade_based_money_laundering"", ""label"": ""Black Market Peso Exchange"", ""notes"": ""A specific method of trade-based money laundering, often employed by TCOs.""}]",Suspicious use of informal value transfer systems (IVTS). | Transactions involving unlicensed or unregistered Money Service Businesses (MSBs). | Indicators consistent with trade-based money laundering (TBML) or Black Market Peso Exchange (BMPE). | Financial activity suggesting connections to Chinese individuals or entities facilitating money transfers for Mexican Transnational Criminal Organizations (TCOs).
FinCEN-Advisory-ISIS-508C.pdf,FIN-2025-A001,advisory,FinCEN Advisory FIN-2025-A001,04/01/2025,"FinCEN Advisory FIN-2025-A001 alerts financial institutions to the persistent global threat posed by the Islamic State of Iraq and Syria (ISIS) and its affiliates. The advisory aims to assist institutions in identifying and reporting suspicious activities related to the financing of this designated terrorist organization. Financial institutions are specifically requested to reference this advisory and select the ""Terrorist Financing"" SAR category when reporting relevant suspicious activity.",terrorist_financing,,terrorist_financing: Financing ISIS and its global affiliates,"[{""family"": ""terrorist_financing"", ""label"": ""Financing ISIS and its global affiliates"", ""notes"": ""Funds directed to support the operational capabilities and activities of the Islamic State of Iraq and Syria (ISIS) and its various designated affiliates worldwide.""}]","Transactions involving individuals or entities designated as Specially Designated Global Terrorists (SDGTs) or Foreign Terrorist Organizations (FTOs) with links to ISIS. | Financial activity, particularly cross-border transfers, to or from regions identified as operational areas for ISIS affiliates, such as Africa, the Middle East, and Central Asia. | Unusual or unexplained transfers of funds that lack a clear economic purpose, potentially masking support for a terrorist group."
FinCEN-Advisory-Illicit-Oil-Smuggling-508.pdf,FIN-2025-A002,advisory,FinCEN Advisory FIN-2025-A002,06/06/2025,"FinCEN is issuing this advisory to help U.S. financial institutions identify and report potential sanctions evasion and other illicit activities related to the Islamic Republic of Iran. It supports the U.S. maximum pressure campaign against Iran, aiming to deny the regime resources for nuclear weapons, ballistic missiles, and regional aggression, and replaces a 2018 advisory. The advisory provides updated information on trends and typologies, including oil smuggling, ""shadow banking"" networks, and weapons procurement, aligning with FinCEN's priorities for terrorist financing and proliferation financing.",sanctions_evasion | terrorist_financing | proliferation_financing,money_laundering,"sanctions_evasion: Illicit oil exports and smuggling | money_laundering: Iranian ""shadow banking"" networks | proliferation_financing: Weapons procurement","[{""family"": ""sanctions_evasion"", ""label"": ""Illicit oil exports and smuggling"", ""notes"": ""Involving illicit use of oil smuggling vessels to generate revenue for the Iranian regime.""}, {""family"": ""money_laundering"", ""label"": ""Iranian \""shadow banking\"" networks"", ""notes"": ""Used to circumvent sanctions and fund illicit activities.""}, {""family"": ""proliferation_financing"", ""label"": ""Weapons procurement"", ""notes"": ""To acquire materials and technologies for nuclear weapons, ICBMs, and other capabilities.""}]",
FinCEN-Advisory-Iran-Backed-TF-508C.pdf,FIN-2024-A001,advisory,FinCEN Advisory FIN-2024-A001,05/08/2024,"FinCEN issued this advisory to assist financial institutions in detecting illicit transactions associated with Iran-backed terrorist organizations, such as Lebanese Hizballah and Hamas, amid increased terrorist activity in the Middle East. The advisory highlights Iran's role in financing these U.S.-designated Foreign Terrorist Organizations (FTOs) and Specially Designated Global Terrorist organizations (SDGTs). Financial institutions are reminded of existing U.S. sanctions prohibiting transactions involving Iran and designated entities. FinCEN requests specific SAR filing procedures for suspicious activity related to these concerns.",terrorist_financing | sanctions_evasion,,terrorist_financing: Funding Iran-backed FTOs | terrorist_financing: Financing regional armed groups | sanctions_evasion: Evasion of Iran sanctions | sanctions_evasion: Transacting with designated entities,"[{""family"": ""terrorist_financing"", ""label"": ""Funding Iran-backed FTOs"", ""notes"": ""Financial support for U.S.-designated groups like Lebanese Hizballah and Hamas.""}, {""family"": ""terrorist_financing"", ""label"": ""Financing regional armed groups"", ""notes"": ""Illicit financial support for Iran's proxy groups involved in terror activities.""}, {""family"": ""sanctions_evasion"", ""label"": ""Evasion of Iran sanctions"", ""notes"": ""Transactions circumventing U.S. prohibitions on dealing with Iran or Iranian entities.""}, {""family"": ""sanctions_evasion"", ""label"": ""Transacting with designated entities"", ""notes"": ""Engaging in financial transactions with U.S.-designated FTOs/SDGTs.""}]","Transactions involving entities or individuals with direct or indirect connections to Iran, particularly those not explicitly authorized by U.S. general or specific license. | Payments or transfers to or from U.S.-designated Foreign Terrorist Organizations (FTOs) or Specially Designated Global Terrorist organizations (SDGTs) like Lebanese Hizballah or Hamas. | Unexplained increases in transaction volume, value, or frequency for customers with ties to regions experiencing intensified terrorist activity in the Middle East. | Complex financial arrangements, third-party intermediaries, or shell companies used to obscure the ultimate beneficiary, origin, or destination of funds, especially when Iran or designated entities are involved. | Any explicit mention or reference to Iran, Iranian-backed groups (e.g., Hizballah, Hamas), or related terrorist activities within transaction details, communications, or open-source information. | Engagement in transactions that appear to circumvent existing U.S. sanctions against Iran or U.S.-designated terrorist organizations."
FinCEN-Alert-DeepFakes-Alert508FINAL.pdf,FIN-2024-ALERT004,alert,FinCEN Alert on Fraud Schemes Involving Deepfake Media Targeting Financial Institutions,11/13/2024,"FinCEN has observed an increase in suspicious activity reports since 2023 involving the suspected use of deepfake media in fraud schemes targeting financial institutions and their customers. These schemes frequently involve criminals using generative artificial intelligence (GenAI) tools to create or alter fraudulent identity documents, bypassing identity verification and authentication controls. This alert aims to help financial institutions identify these deepfake-enabled fraud schemes and provides guidance on reporting related suspicious activity under the Bank Secrecy Act.",synthetic_identity,,synthetic_identity: Deepfake-enabled identity document fraud,"[{""family"": ""synthetic_identity"", ""label"": ""Deepfake-enabled identity document fraud"", ""notes"": ""Criminals use deepfake media to alter or create fraudulent identity documents to circumvent identity verification and authentication methods at financial institutions during account opening, access, or transactions.""}]",
FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf,FIN-2024-ALERT001,alert,"(Rescinded as of January 29, 2025) FinCEN Issues Alert on Israeli Extremist Settler Violence Against Palestinians in the West Bank",02/01/2024,"FinCEN issued an alert to financial institutions concerning the financing of Israeli extremist settler violence against Palestinians in the West Bank. The alert's purpose is to help institutions identify and report suspicious activity related to this illicit finance. Financial institutions are requested to reference this alert in Suspicious Activity Reports (SARs) by including the key term ""FIN-2024-WBEXTREMISM"" in the filing institution note and narrative.",terrorist_financing,,terrorist_financing: Funding extremist settler groups | terrorist_financing: Facilitating donations for violent activities | terrorist_financing: Financial support for individuals committing violence,"[{""family"": ""terrorist_financing"", ""label"": ""Funding extremist settler groups"", ""notes"": ""Directly financing groups or individuals involved in extremist violence against Palestinians in the West Bank.""}, {""family"": ""terrorist_financing"", ""label"": ""Facilitating donations for violent activities"", ""notes"": ""Raising or transferring funds intended for or used by individuals or groups engaged in extremist settler violence.""}, {""family"": ""terrorist_financing"", ""label"": ""Financial support for individuals committing violence"", ""notes"": ""Providing financial assistance or resources to individuals known to be involved in extremist settler violence.""}]",
FinCEN-Alert-Hizballah-Alert-508C.pdf,FIN-2024-ALERT003,alert,FinCEN Alert to Financial Institutions to Counter Financing of Hizballah and its Terrorist Activities,10/23/2024,FinCEN issued an alert to financial institutions regarding the financing of Hizballah and its terrorist activities. The alert emphasizes Hizballah's designation as a Foreign Terrorist Organization (FTO) and a Specially Designated Global Terrorist (SDGT) under E.O. 13224. Financial institutions are requested to exercise enhanced vigilance for activities that may directly or indirectly support Hizballah. Specific SAR filing instructions are provided to help FinCEN track and analyze these illicit financial flows more effectively.,terrorist_financing | sanctions_evasion,,terrorist_financing: Direct Financial Support to Hizballah | terrorist_financing: Funding of Terrorist Operations | sanctions_evasion: Transacting with Designated Parties | sanctions_evasion: Circumvention of Sanctions,"[{""family"": ""terrorist_financing"", ""label"": ""Direct Financial Support to Hizballah"", ""notes"": ""Financial transactions providing funds directly or indirectly to Hizballah as a designated FTO.""}, {""family"": ""terrorist_financing"", ""label"": ""Funding of Terrorist Operations"", ""notes"": ""Transactions supporting logistical or operational aspects of Hizballah's terrorist activities.""}, {""family"": ""sanctions_evasion"", ""label"": ""Transacting with Designated Parties"", ""notes"": ""Engaging in financial dealings with Hizballah or its associated individuals/entities designated under E.O. 13224.""}, {""family"": ""sanctions_evasion"", ""label"": ""Circumvention of Sanctions"", ""notes"": ""Employing methods to bypass sanctions controls to facilitate funding or support for Hizballah.""}]","Transactions involving individuals or entities explicitly linked to Hizballah or other designated terrorist organizations. | Financial activities by customers known to operate in or transfer funds to/from high-risk regions associated with Hizballah's operations. | Identification of customers or transactions that match names or patterns associated with OFAC's Specially Designated Nationals (SDN) List related to terrorism. | Unusual transaction patterns or complex structures designed to obscure the ultimate beneficiary or originator, especially when connections to areas of concern are present. | Adverse media reports or open-source intelligence linking customers to Hizballah or its network. | Accounts exhibiting sudden, unexplained increases in activity, particularly cross-border transfers to high-risk jurisdictions."
FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf,FIN-2025-ALERT002,alert,FinCEN Alert on Oil Smuggling Schemes on the U.S. Southwest Border Associated with Mexico-Based Cartels,05/01/2025,"FinCEN, in coordination with other U.S. agencies, is alerting financial institutions to detect oil smuggling schemes by Mexico-based Cartels, including CJNG, Sinaloa, and Gulf Cartel, on the U.S. southwest border. These cartels are stealing crude oil from Mexico's state-owned Pemex and smuggling it into the U.S. using complicit Mexican brokers and small U.S. oil and natural gas companies. This activity serves as a major non-drug illicit revenue source for the cartels, fueling violence and corruption, and undercutting legitimate businesses. Financial institutions are urged to be vigilant and report suspicious activity related to this illicit trade.",money_laundering | trade_based_money_laundering | sanctions_evasion,corruption_bribery | shell_front_companies,money_laundering: Laundering proceeds from stolen crude oil | trade_based_money_laundering: Smuggling stolen crude oil | sanctions_evasion: Evading OFAC sanctions | corruption_bribery: Bribery to facilitate oil theft/smuggling | shell_front_companies: Using complicit U.S. companies as fronts,"[{""family"": ""money_laundering"", ""label"": ""Laundering proceeds from stolen crude oil"", ""notes"": ""Criminal organizations are using the financial system to process and legitimize illicit funds generated from the sale of stolen oil.""}, {""family"": ""trade_based_money_laundering"", ""label"": ""Smuggling stolen crude oil"", ""notes"": ""Illicit movement and sale of crude oil stolen from Pemex across the U.S.-Mexico border using falsified trade documents or other means.""}, {""family"": ""sanctions_evasion"", ""label"": ""Evading OFAC sanctions"", ""notes"": ""Transacting with individuals or entities designated by OFAC for their involvement in cartel fuel theft and oil smuggling operations.""}, {""family"": ""corruption_bribery"", ""label"": ""Bribery to facilitate oil theft/smuggling"", ""notes"": ""Payments made to officials or employees to facilitate the theft of crude oil from Pemex or its illicit movement across the border.""}, {""family"": ""shell_front_companies"", ""label"": ""Using complicit U.S. companies as fronts"", ""notes"": ""Small U.S.-based oil and natural gas companies and Mexican brokers are used to facilitate the import and sale of stolen crude oil.""}]","Transactions involving small or newly established oil and natural gas companies operating near the U.S. Southwest border, especially with Mexican counterparties. | Payments for crude oil or refined products that appear inconsistent with a company's known business activities, capacity, or industry norms. | Any payments to or from individuals or entities identified on OFAC's SDN List related to fuel theft, drug trafficking organizations, or Mexican cartels. | Sudden or unexplained increases in transaction volume or value for oil and gas companies, particularly those with cross-border activity. | Companies involved in oil and gas transactions that have opaque ownership structures, unusual business models, or frequently change legal entity names. | Invoices or shipping documents for oil or gas products that lack detail, appear inconsistent with market prices, or contain discrepancies. | Customer communications or transaction narratives that include keywords such as 'Pemex,' 'fuel theft,' 'oil smuggling,' or specific Mexican cartel names. | Use of multiple financial institutions or accounts to rapidly move funds related to oil and gas transactions, especially with third-party involvement not typical of the supply chain."
FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf,FIN-2024-ALERT002,alert,"(Rescinded as of January 29, 2025) FinCEN Issues Supplemental Alert on Israeli Extremist Violence in the West Bank",07/11/2024,FinCEN issued a supplemental alert to financial institutions concerning the financing of Israeli extremist settler violence against Palestinians in the West Bank. This alert provides additional red flags to aid in identifying and reporting suspicious activity related to this violence. Financial institutions are requested to continue using SAR code FIN-2024-WBEXTREMISM for relevant filings and to fulfill their BSA reporting obligations.,terrorist_financing | sanctions_evasion,,terrorist_financing: Funding extremist settler violence | sanctions_evasion: Support to sanctioned entities,"[{""family"": ""terrorist_financing"", ""label"": ""Funding extremist settler violence"", ""notes"": ""Financing acts of violence by Israeli extremist settlers against Palestinians in the West Bank.""}, {""family"": ""sanctions_evasion"", ""label"": ""Support to sanctioned entities"", ""notes"": ""Providing financial assistance to groups or individuals sanctioned for disrupting humanitarian aid or engaging in violence.""}]",
FinCEN-BOI-Notice-Deadline-Extension-508FINAL.pdf,FIN-2025-CTA1,notice,FinCEN Extends Beneficial Ownership Information Reporting Deadline by 30 Days; Announces Intention to Revise Reporting Rule,02/18/2025,"FinCEN has extended the beneficial ownership information (BOI) reporting deadline by 30 days, generally to March 21, 2025, following a U.S. District Court decision that reinstated Corporate Transparency Act (CTA) requirements. This extension provides companies with additional time to comply with their BOI obligations. FinCEN also announced its intention to assess further deadline modifications and revise the BOI reporting rule to reduce the burden on lower-risk entities, while prioritizing reporting for those posing significant national security risks.",shell_front_companies | money_laundering,terrorist_financing | sanctions_evasion,shell_front_companies: Using shell companies to hide beneficial ownership | shell_front_companies: Establishing complex ownership structures | money_laundering: Layering illicit funds through shell companies | money_laundering: Obscuring the origin and destination of funds | terrorist_financing: Funding terrorist activities via opaque entities | sanctions_evasion: Circumventing sanctions using front companies,"[{""family"": ""shell_front_companies"", ""label"": ""Using shell companies to hide beneficial ownership"", ""notes"": ""Purposefully obscuring the true owners of a legal entity to avoid scrutiny.""}, {""family"": ""shell_front_companies"", ""label"": ""Establishing complex ownership structures"", ""notes"": ""Creating convoluted layers of entities to obscure ultimate beneficial ownership.""}, {""family"": ""money_laundering"", ""label"": ""Layering illicit funds through shell companies"", ""notes"": ""Using anonymous companies to distance criminal proceeds from their source.""}, {""family"": ""money_laundering"", ""label"": ""Obscuring the origin and destination of funds"", ""notes"": ""Utilizing opaque entities to hide the source or flow of illicit money.""}, {""family"": ""terrorist_financing"", ""label"": ""Funding terrorist activities via opaque entities"", ""notes"": ""Channeling funds to support terrorism through companies with hidden ownership.""}, {""family"": ""sanctions_evasion"", ""label"": ""Circumventing sanctions using front companies"", ""notes"": ""Establishing or utilizing entities with obscured ownership to bypass sanctions regimes.""}]","Complex, multi-layered ownership structures without clear economic or business justification. | Multiple entities sharing the same registered address, phone number, or beneficial owner, especially across different industries or jurisdictions. | Transactions involving shell or front companies with unclear beneficial ownership, particularly if funds are moving to or from high-risk jurisdictions. | Unexplained or frequent changes in a company's ownership or control structure. | Inconsistent or conflicting beneficial ownership information provided across different sources or to the financial institution. | A company's stated business activity does not align with its transaction volumes, frequency, or geographic reach. | Reluctance or refusal by a company to provide beneficial ownership information when requested by the financial institution. | Funds moving rapidly through newly established entities with opaque ownership and no apparent legitimate business purpose."
FinCEN-Joint-Notice-Timeshare-Mexico-508C-FINAL.pdf,FIN-2024-NTC2,notice,"FinCEN, OFAC, and FBI Joint Notice on Timeshare Fraud Associated with Mexico-Based Transnational Criminal Organizations",07/16/2024,"This joint notice from FinCEN, OFAC, and the FBI alerts financial institutions to detect and report timeshare fraud schemes orchestrated by Mexico-based Transnational Criminal Organizations (TCOs), including the Jalisco New Generation Cartel (CJNG). These TCOs primarily target U.S. owners of timeshare properties in Mexico, with older adults frequently falling victim. The proceeds from this fraud are used by TCOs to diversify revenue streams and finance other illicit activities, notably the manufacturing and trafficking of fentanyl and other synthetic drugs. Financial institutions are requested to include specific keywords when filing Suspicious Activity Reports related to this activity.",elder_romance_scam | money_laundering,,elder_romance_scam: Timeshare resale fraud targeting older adults | money_laundering: Laundering of timeshare fraud proceeds by TCOs,"[{""family"": ""elder_romance_scam"", ""label"": ""Timeshare resale fraud targeting older adults"", ""notes"": ""Mexico-based TCOs target U.S. owners of timeshare properties in Mexico, with older adults and retirees as frequent victims.""}, {""family"": ""money_laundering"", ""label"": ""Laundering of timeshare fraud proceeds by TCOs"", ""notes"": ""TCOs use funds from timeshare fraud to diversify revenue and finance criminal activities, including drug trafficking.""}]","Transactions, particularly international wire transfers to Mexico, involving U.S. customers related to timeshare properties, especially if the customer is an older adult (60 years or older). | Unusual or unsolicited attempts by customers to sell their timeshare properties, particularly when involving third-party facilitators or requests for upfront fees. | Customers, especially older adults, reporting pressure or harassment from individuals or entities claiming to facilitate timeshare sales or purchases. | Receipt of funds from an alleged timeshare sale, followed by rapid or unusual onward movement of a significant portion of those funds, potentially to unrelated accounts or jurisdictions. | Inconsistencies or discrepancies in documentation or claims related to timeshare property ownership, sale, or associated fees. | Transactions involving Mexican entities or individuals for timeshare-related payments that appear to be shell companies or lack clear legitimate business purpose."
FinCEN-Notice-CVCKIOSK.pdf,FIN-2025-NTC001,notice,FinCEN Notice on the Use of Convertible Virtual Currency Kiosks for Scam Payments and Other Illicit Activity,08/4/2025,"FinCEN is issuing a notice urging financial institutions to be vigilant regarding suspicious activity involving Convertible Virtual Currency (CVC) kiosks, also known as crypto ATMs. Scammers are increasingly exploiting these kiosks to direct victims to send payments under false pretenses, leading to significant financial losses. In 2024, the FBI's IC3 reported over 10,956 complaints linked to CVC kiosks, with victim losses nearing $246.7 million, marking a substantial increase from the previous year.",elder_romance_scam | virtual_assets_crypto,money_laundering,elder_romance_scam: Impersonation/Extortion Scams via CVC Kiosks | virtual_assets_crypto: Illicit Funds Transmission via CVC Kiosks,"[{""family"": ""elder_romance_scam"", ""label"": ""Impersonation/Extortion Scams via CVC Kiosks"", ""notes"": ""Victims are directed by scammers (e.g., impersonating government officials, tech support) to make payments through CVC kiosks under false pretenses.""}, {""family"": ""virtual_assets_crypto"", ""label"": ""Illicit Funds Transmission via CVC Kiosks"", ""notes"": ""Criminals and other illicit actors exploit CVC kiosks for the rapid and convenient movement of illicit proceeds, including those from various fraud schemes.""}]","Customer exhibiting signs of distress, confusion, or being coached over the phone while conducting CVC-related transactions or cash withdrawals. | Unusual or sudden increases in cash withdrawals or electronic payments to CVC kiosk operators, inconsistent with the customer's historical activity. | Frequent or high-value transactions involving CVC kiosks that appear uncharacteristic of the customer's financial profile. | Customer making inquiries about recovering funds sent via CVC kiosks, indicating potential victimization by a scam. | Customer receiving funds from unknown or suspicious sources and immediately converting them via CVC kiosks."
FinCEN-Notice-FMS-508C.pdf,FIN-2025-NTC2,notice,FinCEN Notice on Financially Motivated Sextortion,09/8/2025,"This FinCEN Notice alerts financial institutions to the increasing threat of financially motivated sextortion, where perpetrators use fake personas to coerce victims into creating explicit content. These criminals then extort payments by threatening to disseminate the material to the victims' friends and family. While victims span all age groups, minors—especially adolescent boys—are particularly vulnerable, and schemes targeting them constitute Online Child Sexual Exploitation. The notice provides guidance for identifying and reporting related suspicious activity.",ransomware_cyber | money_laundering | human_trafficking,,ransomware_cyber: Digital Extortion via Explicit Content | human_trafficking: Online Child Sexual Exploitation (OCSE) | money_laundering: Laundering of Sextortion Proceeds,"[{""family"": ""ransomware_cyber"", ""label"": ""Digital Extortion via Explicit Content"", ""notes"": ""Perpetrators coerce victims to create explicit images/videos and threaten their release unless payment is made.""}, {""family"": ""human_trafficking"", ""label"": ""Online Child Sexual Exploitation (OCSE)"", ""notes"": ""Schemes where minors are victimized by being coerced into creating explicit content for financial gain.""}, {""family"": ""money_laundering"", ""label"": ""Laundering of Sextortion Proceeds"", ""notes"": ""Illicit funds obtained from sextortion are moved through financial systems to obscure their origin.""}]","Sudden, urgent, or high-value payments, especially international or to unknown recipients, inconsistent with the customer's financial profile. | Customer attempts to liquidate assets or take out loans under unusual pressure or without a clear legitimate reason. | Multiple unexplained transfers from a customer's account to various beneficiaries or virtual asset service providers (VASPs) within a short period. | Transactions involving accounts in high-risk jurisdictions or known for cybercrime activity, particularly those mentioned in law enforcement reports. | Customer exhibiting signs of distress, fear, or secrecy when discussing financial transactions or inquiries. | Incoming funds from multiple suspicious sources quickly being dispersed or withdrawn from a customer's account. | Customer making payments to virtual currency exchanges, gift card vendors, or money services businesses that are unusual for their typical activity."
FinCEN-Supplemental-Advisory-on-Fentanyl-508C.pdf,FIN-2024-A002,advisory,FinCEN Advisory FIN-2024-A002,06/20/2024,"FinCEN's advisory highlights the severe threat posed by illicit fentanyl and other synthetic opioids, which are responsible for a significant number of overdose deaths across the U.S. It emphasizes the financial flows that enable the procurement of precursor chemicals and the manufacturing of these deadly substances, often by major drug cartels. FinCEN requests financial institutions to reference this advisory in SARs by including the key term 'FENTANYL FIN-2024-A002' when reporting suspicious activity related to fentanyl production and trafficking.",money_laundering,,money_laundering: Financing Fentanyl Precursor Procurement | money_laundering: Support for Illicit Fentanyl Production and Distribution | money_laundering: Funding Counterfeit Pill Manufacturing,"[{""family"": ""money_laundering"", ""label"": ""Financing Fentanyl Precursor Procurement"", ""notes"": ""Moving funds to acquire precursor chemicals essential for the illicit manufacturing of fentanyl and other synthetic opioids.""}, {""family"": ""money_laundering"", ""label"": ""Support for Illicit Fentanyl Production and Distribution"", ""notes"": ""Financial transactions supporting the operations of drug cartels, such as the Sinaloa Cartel or CJNG, involved in producing and distributing illicit fentanyl and counterfeit pills.""}, {""family"": ""money_laundering"", ""label"": ""Funding Counterfeit Pill Manufacturing"", ""notes"": ""Directing funds to acquire materials or operate facilities for pressing fentanyl-laced fake prescription medications.""}]","Transactions involving entities or individuals known to be linked to major drug cartels (e.g., Sinaloa Cartel, Jalisco New Generation Cartel - CJNG) or their affiliates. | Payments for chemicals, chemical processing equipment, or pill presses that are inconsistent with a customer's stated business, industry, or activity. | Complex international transactions or supply chains lacking a clear legitimate economic purpose for the procurement of goods that could serve as fentanyl precursors. | Use of shell companies, front businesses, or third parties to obscure the true beneficial owner, origin, or destination of funds related to chemical procurement or drug distribution. | Multiple, unexplained transactions with high-risk jurisdictions known for precursor chemical production or significant drug trafficking activity. | Customers engaged in online sales or bulk distribution of 'prescription medications' without proper licensing, pharmaceutical industry connections, or consistent with legitimate commerce."
FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf,FIN-2023-ALERT005,alert,FinCEN Alert on Prevalent Virtual Currency Investment Scam Commonly Known as “Pig Butchering”,09/08/2023,"FinCEN is alerting financial institutions and the public to ""pig butchering,"" a pervasive virtual currency investment scam. Scammers build trust with victims, often through fictitious identities and elaborate storylines resembling romance or confidence scams. They then persuade victims to invest in fraudulent virtual currency trading platforms, ultimately stealing their assets and causing significant financial and emotional harm. While focusing on virtual currency, the scam can also involve other financial instruments like wire transfers and Forex.",elder_romance_scam | virtual_assets_crypto,,elder_romance_scam: Romance/Confidence Investment Scam | virtual_assets_crypto: Fraudulent Virtual Currency Investment Platform,"[{""family"": ""elder_romance_scam"", ""label"": ""Romance/Confidence Investment Scam"", ""notes"": ""Scammers build trust with victims using fictitious identities and elaborate storylines, often initiating contact through dating apps or social media, to 'fatten' them up before stealing assets.""}, {""family"": ""virtual_assets_crypto"", ""label"": ""Fraudulent Virtual Currency Investment Platform"", ""notes"": ""Victims are enticed to invest in fake virtual currency trading platforms, believing they are engaging in legitimate opportunities, only for their assets to be stolen.""}]","Customer expresses interest in or transfers funds to an unfamiliar virtual currency investment platform introduced by an online contact. | Customer, often with limited investment experience, makes significant and increasingly larger virtual currency investments. | Customer is coached or pressured by an online contact to make deposits, send funds, or overcome financial institution questions. | Customer expresses unusual urgency to send funds or convert traditional currency to virtual currency. | Unusual virtual currency activity, such as frequent, large transfers to multiple unknown wallets or exchange addresses. | Customer exhibits unusual emotional attachment or defensiveness regarding an online contact they have not met in person."
FinCEN_Alert_Terrorist_Financing_proof1.pdf,FIN-2023-ALERT006,alert,FinCEN Alert to Financial Institutions to Counter Financing to Hamas and its Terrorist Activities,10/20/2023,"FinCEN's alert FIN-2023-ALERT006, issued on October 20, 2023, warns financial institutions about terrorist financing activities linked to Hamas and its associated entities. The alert highlights Hamas's designation as a Foreign Terrorist Organization (FTO) and references U.S. government efforts to counter its financing, including actions against facilitators and the involvement of state sponsors like Iran. Financial institutions are instructed to file Suspicious Activity Reports (SARs) using the keyword ""FIN-2023-TFHAMAS"" and select the ""Terrorist Financing"" SAR field when detecting such activity.",terrorist_financing,sanctions_evasion,terrorist_financing: Financing designated terrorist organizations | terrorist_financing: Facilitating fund movement to terrorist groups | sanctions_evasion: Providing financial support to sanctioned entities,"[{""family"": ""terrorist_financing"", ""label"": ""Financing designated terrorist organizations"", ""notes"": ""Providing financial support to U.S.-designated Foreign Terrorist Organizations such as Hamas and Lebanese Hizballah.""}, {""family"": ""terrorist_financing"", ""label"": ""Facilitating fund movement to terrorist groups"", ""notes"": ""Assisting in the movement of funds, potentially millions, to groups like Hamas in Gaza through various facilitators.""}, {""family"": ""sanctions_evasion"", ""label"": ""Providing financial support to sanctioned entities"", ""notes"": ""Financial transactions or support benefiting Hamas, which is designated under Executive Order 13224.""}]","Transactions involving entities or individuals designated as Foreign Terrorist Organizations (e.g., Hamas, Lebanese Hizballah). | Financial activity linked to known facilitators previously identified by Treasury for moving funds to Hamas. | Financial flows potentially originating from or transiting through jurisdictions identified as state sponsors of terrorism, such as Iran. | Unusual or complex transaction patterns that may indicate attempts to obscure the true nature of financial support for designated terrorist groups."
